,Club,Played,Wins,Draws,Loses,Goals Scored,Goals Against,Goals Difference,Points,Expected Goals,Expected Goals Against,Expected Goals Difference,Expected goals difference per 90 min,Time
0,Manchester City,23,16,3,4,59,23,+36,51,48.0,18.9,+29.0,+1.26,2023-02-17 18:16:05.357138
1,Arsenal,22,16,3,3,47,21,+26,51,41.4,22.3,+19.1,+0.87,2023-02-17 18:16:05.357138
2,Manchester Utd,23,14,4,5,38,28,+10,46,34.8,27.2,+7.6,+0.33,2023-02-17 18:16:05.357138
3,Newcastle Utd,22,10,11,1,35,13,+22,41,35.1,20.2,+14.9,+0.68,2023-02-17 18:16:05.357138
4,Tottenham,23,12,3,8,42,35,+7,39,33.1,28.3,+4.8,+0.21,2023-02-17 18:16:05.357138
5,Brighton,21,10,5,6,39,28,+11,35,33.8,26.2,+7.6,+0.36,2023-02-17 18:16:05.357138
6,Fulham,23,10,5,8,34,30,+4,35,30.6,37.4,-6.8,-0.30,2023-02-17 18:16:05.357138
7,Brentford,22,8,10,4,36,29,+7,34,31.6,27.9,+3.7,+0.17,2023-02-17 18:16:05.357138
8,Liverpool,21,9,5,7,36,28,+8,32,37.5,29.4,+8.1,+0.38,2023-02-17 18:16:05.357138
9,Chelsea,22,8,7,7,23,22,+1,31,26.3,28.2,-1.9,-0.09,2023-02-17 18:16:05.357138
10,Aston Villa,22,8,4,10,26,34,-8,28,26.5,32.7,-6.1,-0.28,2023-02-17 18:16:05.357138
11,Crystal Palace,22,6,7,9,20,30,-10,25,20.7,32.1,-11.4,-0.52,2023-02-17 18:16:05.357138
12,Leicester City,22,7,3,12,36,38,-2,24,26.8,35.0,-8.2,-0.37,2023-02-17 18:16:05.357138
13,Nott'ham Forest,22,6,6,10,17,37,-20,24,24.1,32.8,-8.7,-0.40,2023-02-17 18:16:05.357138
14,Wolves,22,6,5,11,17,31,-14,23,21.7,31.8,-10.1,-0.46,2023-02-17 18:16:05.357138
15,West Ham,22,5,5,12,19,27,-8,20,27.8,24.5,+3.3,+0.15,2023-02-17 18:16:05.357138
16,Leeds United,22,4,7,11,28,38,-10,19,29.0,33.3,-4.3,-0.20,2023-02-17 18:16:05.357138
17,Everton,22,4,6,12,16,30,-14,18,22.4,36.5,-14.2,-0.65,2023-02-17 18:16:05.357138
18,Bournemouth,22,4,6,12,20,44,-24,18,17.9,36.6,-18.8,-0.85,2023-02-17 18:16:05.357138
19,Southampton,22,4,3,15,18,40,-22,15,21.5,29.0,-7.6,-0.34,2023-02-17 18:16:05.357138
0,Manchester City,23,16,3,4,59,23,+36,51,48.0,18.9,+29.0,+1.26,2023-02-17 18:16:07.257197
1,Arsenal,22,16,3,3,47,21,+26,51,41.4,22.3,+19.1,+0.87,2023-02-17 18:16:07.257197
2,Manchester Utd,23,14,4,5,38,28,+10,46,34.8,27.2,+7.6,+0.33,2023-02-17 18:16:07.257197
3,Newcastle Utd,22,10,11,1,35,13,+22,41,35.1,20.2,+14.9,+0.68,2023-02-17 18:16:07.257197
4,Tottenham,23,12,3,8,42,35,+7,39,33.1,28.3,+4.8,+0.21,2023-02-17 18:16:07.257197
5,Brighton,21,10,5,6,39,28,+11,35,33.8,26.2,+7.6,+0.36,2023-02-17 18:16:07.257197
6,Fulham,23,10,5,8,34,30,+4,35,30.6,37.4,-6.8,-0.30,2023-02-17 18:16:07.257197
7,Brentford,22,8,10,4,36,29,+7,34,31.6,27.9,+3.7,+0.17,2023-02-17 18:16:07.257197
8,Liverpool,21,9,5,7,36,28,+8,32,37.5,29.4,+8.1,+0.38,2023-02-17 18:16:07.257197
9,Chelsea,22,8,7,7,23,22,+1,31,26.3,28.2,-1.9,-0.09,2023-02-17 18:16:07.257197
10,Aston Villa,22,8,4,10,26,34,-8,28,26.5,32.7,-6.1,-0.28,2023-02-17 18:16:07.257197
11,Crystal Palace,22,6,7,9,20,30,-10,25,20.7,32.1,-11.4,-0.52,2023-02-17 18:16:07.257197
12,Leicester City,22,7,3,12,36,38,-2,24,26.8,35.0,-8.2,-0.37,2023-02-17 18:16:07.257197
